Island,Tidal_Zone,Site,Latitude,Longitude
Lovells,Subtidal,A,42.330726,-70.933504
Lovells,Subtidal,B,42.334162,-70.934536
Lovells,Subtidal,C,42.337145,-70.924147
Lovells,Subtidal,D,42.32536,-70.920455
Lovells,Subtidal,E,42.324734,-70.925889
Rainsford,Subtidal,A,42.31001,-70.953966
Rainsford,Subtidal,B,42.311195,-70.958449
Rainsford,Subtidal,C,42.312992,-70.955047
Rainsford,Subtidal,D,42.314339,-70.952103
Rainsford,Subtidal,E,42.310849,-70.950315
Lovells,Intertidal,A,42.330579,-70.930809
Lovells,Intertidal,B,42.332623,-70.932527
Lovells,Intertidal,C,42.331872,-70.928551
Lovells,Intertidal,D,42.325457,-70.924034
Lovells,Intertidal,E,42.324923,-70.925644
Rainsford,Intertidal,A,42.310485,-70.954263
Rainsford,Intertidal,B,42.311015,-70.957802
Rainsford,Intertidal,C,42.311843,-70.954484
Rainsford,Intertidal,D,42.313396,-70.951435
Rainsford,Intertidal,E,42.311584,-70.951048
