"Island","Site","Quadrat","Date","Time","Latitude","Longitude","Pop_Eaten","Pop_Not_Eaten","Pop_Lost","Time_Pop_Deployed","Time_Pop_Retrieved","Tide_Height","Relief","Substrate_Type","ASNO","FUSP","FUVE","FUDI","MAST","FU","ULIN","PORS","CHCR","SLJ","SL","CO","MYED"
"Rainsford","A",1,"2022-08-01","9:36 AM",42.310485,-70.954263,5,1,4,"9:55 AM","6:25 PM","mid","low","boulder",99.4,0.1,0.5,0,0,0,0,0,0,0,0,0,0
"Rainsford","A",2,"2022-08-01","9:41 AM",42.310485,-70.954263,5,1,4,"9:55 AM","6:25 PM","mid","low","bedrock",100,0,0,0,0,0,0,0,0,0,0,0,0
"Rainsford","A",3,"2022-08-01","9:45 AM",42.310485,-70.954263,5,1,4,"9:55 AM","6:25 PM","mid","low","bedrock",100,0,0,0,0,0,0,0,0,0,0,0,0
"Rainsford","A",4,"2022-08-01","9:47 AM",42.310485,-70.954263,5,1,4,"9:55 AM","6:25 PM","mid","moderate","bedrock",79,5,2,0,0,0,0,0,0,0,0,0,0
"Rainsford","A",5,"2022-08-01","9:50 AM",42.310485,-70.954263,5,1,4,"9:55 AM","6:25 PM","mid","moderate","bedrock",95,5,0,0,0,0,0,0,0,0,0,0,0
"Rainsford","B",1,"2022-08-01","9:40 AM",42.311015,-70.957802,8,1,1,NA,"7:18 PM","mid","low","cobble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Rainsford","B",2,"2022-08-01",NA,42.311015,-70.957802,8,1,1,NA,"7:18 PM","mid","low","pebble",0,0,0,0,0,0,0,0,0,0,0,0,3.2
"Rainsford","B",3,"2022-08-01","9:05 AM",42.311015,-70.957802,8,1,1,NA,"7:18 PM","mid","low","shell_debris",0,0,1,19,0,0,0,0,0,0,0,0,0
"Rainsford","B",4,"2022-08-01","9:45 AM",42.311015,-70.957802,8,1,1,NA,"7:18 PM","mid","flat","shell_debris",0,0,27,0,0,0,0,0,0,0,0,0,0
"Rainsford","B",5,"2022-08-01",NA,42.311015,-70.957802,8,1,1,NA,"7:18 PM","mid","flat","shell_debris",0,0,0,5,0,0,0,0,0,0,0,0,0
"Rainsford","C",1,"2022-08-01","8:18 AM",42.311843,-70.954484,10,0,0,"8:50 AM","6:40 PM","mid","low","pebble",0,0,0,0,0,0,0,0,0,0,0,0,0
"Rainsford","C",2,"2022-08-01","8:25 AM",42.311843,-70.954484,10,0,0,"8:50 AM","6:40 PM","mid","low","pebble",0,0,0,0,1,0,0,0,0,0,0,0,0
"Rainsford","C",3,"2022-08-01","8:28 AM",42.311843,-70.954484,10,0,0,"8:50 AM","6:40 PM","mid","low","pebble",0,0,0,8,0,0,0,0,0,0,0,0,0
"Rainsford","C",4,"2022-08-01","8:35 AM",42.311843,-70.954484,10,0,0,"8:50 AM","6:40 PM","mid","low","pebble",0,18.1,5,0,0.1,4,0,0,0,0,0,0,0
"Rainsford","C",5,"2022-08-01","8:42 AM",42.311843,-70.954484,10,0,0,"8:50 AM","6:40 PM","mid","low","cobble",0,16.2,0,0,4,0.6,0,0,0,0,0,0,0
"Rainsford","D",1,"2022-08-01","8:40 AM",42.313396,-70.951435,6,4,0,NA,NA,"mid","low","cobble",0,0,0,0,0,0.4,0,0,0,0,0,0,0
"Rainsford","D",2,"2022-08-01","8:44 AM",42.313396,-70.951435,6,4,0,NA,NA,"mid","low","cobble",0,0,0,0,0,4.3,35,0,0,0,0,0,0
"Rainsford","D",3,"2022-08-01","8:50 AM",42.313396,-70.951435,6,4,0,NA,NA,"mid","low","cobble",0,0,0,0,0,7.2,59,0,0,0,0,0,0
"Rainsford","D",4,"2022-08-01","8:55 AM",42.313396,-70.951435,6,4,0,NA,NA,"mid","low","cobble",0,0,0,0,0,4.3,44,0,0,0,0,0,0
"Rainsford","D",5,"2022-08-01","9:00 AM",42.313396,-70.951435,6,4,0,NA,NA,"mid","low","cobble",0,0,0,0,0,26,26.2,18,0,0,0,0,0
"Rainsford","E",1,"2022-08-01","9:05 AM",42.311584,-70.951048,10,0,0,"9:01 AM","7:25 PM","mid","low","boulder",0,0,0,0,0.1,0,0,0,0,0,0,0,1.5
"Rainsford","E",2,"2022-08-01","9:10 AM",42.311584,-70.951048,10,0,0,"9:01 AM","7:25 PM","mid","flat","boulder",0,0,0,0,0,0,0,0,0,0,0,0,3.6
"Rainsford","E",3,"2022-08-01","9:13 AM",42.311584,-70.951048,10,0,0,"9:01 AM","7:25 PM","mid","flat","cobble",0,7,0,0,6.8,2,0,0,1.2,0,0,0,2.9
"Rainsford","E",4,"2022-08-01","9:22 AM",42.311584,-70.951048,10,0,0,"9:01 AM","7:25 PM","mid","flat","cobble",0,0,0,0,8.6,0,0,0,0.5,1,7,1,0
"Rainsford","E",5,"2022-08-01","9:30 AM",42.311584,-70.951048,10,0,0,"9:01 AM","7:25 PM","mid","flat","boulder",0,0,0,0,1.5,0,0,0,0,0,0,0,0
